,id_hecho,fecha,rol,vehiculo_victima,sexo_victima,edad_victima,gravedad,Victima_fatal,Victima_no_fatal
3014,LC-2019-0162139,2019-03-16,,,MASCULINO,60.0,LEVE,0,1
3015,LC-2019-0162139,2019-03-16,,,MASCULINO,60.0,LEVE,0,1
3016,LC-2019-0162139,2019-03-16,,,MASCULINO,46.0,LEVE,0,1
3017,LC-2019-0162139,2019-03-16,,,MASCULINO,30.0,LEVE,0,1
3018,LC-2019-0162139,2019-03-16,,,FEMENINO,43.0,LEVE,0,1
3019,LC-2019-0162172,2019-03-16,,,FEMENINO,31.0,LEVE,0,1
3020,LC-2019-0162424,2019-03-16,,,MASCULINO,43.0,LEVE,0,1
3021,LC-2019-0162507,2019-03-16,,,FEMENINO,,LEVE,0,1
3022,LC-2019-0162655,2019-03-16,,,FEMENINO,,LEVE,0,1
3023,LC-2019-0162696,2019-03-16,,,FEMENINO,57.0,LEVE,0,1
3024,LC-2019-0162759,2019-03-16,,,FEMENINO,,LEVE,0,1
3025,LC-2019-0162759,2019-03-16,,,FEMENINO,,LEVE,0,1
3026,LC-2019-0162782,2019-03-16,,,MASCULINO,70.0,LEVE,0,1
3027,LC-2019-0162832,2019-03-16,,,FEMENINO,33.0,LEVE,0,1
3028,LC-2019-0162832,2019-03-16,,,FEMENINO,33.0,LEVE,0,1
3029,LC-2019-0162832,2019-03-16,,,FEMENINO,59.0,LEVE,0,1
3030,LC-2019-0162876,2019-03-16,,,MASCULINO,34.0,LEVE,0,1
3031,LC-2019-0162876,2019-03-16,,,MASCULINO,34.0,LEVE,0,1
3032,LC-2019-0162965,2019-03-16,,,,,LEVE,0,1
3033,LC-2019-0162972,2019-03-16,,,MASCULINO,34.0,LEVE,0,1
3034,LC-2019-0162984,2019-03-16,,,FEMENINO,44.0,LEVE,0,1
3035,LC-2019-0162984,2019-03-16,,,FEMENINO,44.0,LEVE,0,1
3036,LC-2019-0163090,2019-03-16,,,MASCULINO,23.0,LEVE,0,1
3037,LC-2019-0163130,2019-03-16,,,MASCULINO,,LEVE,0,1
3038,LC-2019-0163237,2019-03-16,,,MASCULINO,38.0,LEVE,0,1
3039,LC-2019-0163321,2019-03-16,,,MASCULINO,,LEVE,0,1
3040,LC-2019-0163370,2019-03-16,,,MASCULINO,25.0,LEVE,0,1
3041,LC-2019-0164029,2019-03-16,,,MASCULINO,48.0,LEVE,0,1
